,pathway,ES,p_val,NES,FDR
150,MAP00970_Aminoacyl_tRNA_biosynthesis,0.544272626,0.002603226,2.320446809,0.003665455
247,tRNA_Synthetases,0.537106122,0.003054839,2.2898932,0.004359712
186,proteasomePathway,0.511094168,0.005509677,2.17899408,0.008489286
244,tob1Pathway,-0.476050007,0.005658065,2.031696036,0.016064516
66,Electron_Transport_Chain,0.476133963,0.010467742,2.02994507,0.017434028
198,SA_CASPASE_CASCADE,-0.470982947,0.006432258,2.010070733,0.017693548
113,MAP00020_Citrate_cycle_TCA_cycle,0.470781754,0.011403226,2.007126514,0.019256055
151,MAP03020_RNA_polymerase,0.468872314,0.011716129,1.998985827,0.01983737
111,lairPathway,-0.464846974,0.007341935,1.983883501,0.019741935
75,Fatty_Acid_Synthesis,0.464962367,0.012454839,1.982316192,0.021304498
172,no2il12Pathway,-0.451230386,0.009880645,1.925770343,0.025145161
252,VOXPHOS,0.444608275,0.016848387,1.89553875,0.030085911
270,EMT_UP,-0.43240628,0.014141935,1.845432436,0.033945161
20,ccr3Pathway,0.423230994,0.022496774,1.804399052,0.041370748
9,atrbrcaPathway,-0.417406578,0.018516129,1.781416401,0.042745161
185,Proteasome_Degradation,0.410762014,0.026709677,1.751238919,0.049583893
5,arapPathway,0.402773397,0.029912903,1.717180322,0.055862416
239,th1th2Pathway,-0.398482832,0.025419355,1.700653247,0.057045161
128,MAP00260_Glycine_serine_and_threonine_metabolism,0.391468979,0.035303226,1.668985174,0.066885906
243,tnfr2Pathway,0.391228773,0.035406452,1.667961082,0.06709396
143,MAP00590_Prostaglandin_and_leukotriene_metabolism,-0.389497827,0.0298,1.662306859,0.065893548
97,il17Pathway,-0.384593351,0.032329032,1.641375433,0.071112903
56,cytokinePathway,-0.375914755,0.037422581,1.604336742,0.081435484
78,G13_Signaling_Pathway,0.372368572,0.046709677,1.587552676,0.089152824
110,KrebsTCA_Cycle,0.37156299,0.047219355,1.584118168,0.090166113
35,ceramidePathway,0.368303564,0.049393548,1.570221959,0.094631229
73,Fatty_Acid_Degradation,-0.365273554,0.044383871,1.558922006,0.095509677
216,ST_ERK1_ERK2_MAPK_Pathway,0.361675914,0.053864516,1.541965701,0.103376238
167,nfkbPathway,0.361495675,0.053990323,1.541197269,0.103653465
284,GLUCOSE_UP,0.354513463,0.059009677,1.511429372,0.114438944
135,MAP00361_gamma_Hexachlorocyclohexane_degradation,-0.354112476,0.052858065,1.511288528,0.111883871
149,MAP00910_Nitrogen_metabolism,-0.352170659,0.054454839,1.503001198,0.115019355
152,MAP03070_Type_III_secretion_system,0.351279819,0.061577419,1.497643084,0.119325658
122,MAP00195_Photosynthesis,0.351279819,0.061577419,1.497643084,0.119325658
121,MAP00193_ATP_synthesis,0.351279819,0.061577419,1.497643084,0.119325658
255,FA,-0.348283594,0.057577419,1.486411905,0.121309677
306,RAR_UP,-0.347883389,0.057941935,1.484703899,0.121996774
258,GLYCOL,0.347603382,0.0646,1.481968997,0.125140984
74,fatty_acid_metabolism,-0.344848059,0.060580645,1.471749658,0.127016129
104,inflamPathway,-0.34455685,0.060877419,1.470506829,0.127525806
81,gata3Pathway,-0.344532938,0.060903226,1.470404778,0.12756129
103,Inflammatory_Response_Pathway,-0.344031832,0.061335484,1.468266146,0.128441935
159,mitochondriaPathway,-0.341551778,0.06356129,1.45768172,0.132745161
147,MAP00710_Carbon_fixation,-0.339346458,0.065603226,1.44826981,0.136735484
18,carmerPathway,0.339224245,0.071551613,1.446245466,0.138990228
70,erkPathway,0.337415802,0.073222581,1.438535365,0.142374593
162,mRNA_splicing,0.336881222,0.073735484,1.436256243,0.143381107
200,SA_TRKA_RECEPTOR,0.334580798,0.075903226,1.426448636,0.147859935
93,hsp27Pathway,-0.333468806,0.071241935,1.423185048,0.14786129
188,ptenPathway,0.33160333,0.078764516,1.413754528,0.153736156
254,wntPathway,0.329253197,0.081109677,1.403734992,0.158351792
101,il6Pathway,0.326869768,0.083251613,1.393573502,0.162947883
30,cell_growth_and_or_maintenance,-0.326245963,0.078393548,1.392359248,0.161929032
193,rasPathway,0.323435446,0.086809677,1.378931646,0.170009772
51,CR_TRANSPORT_OF_VESICLES,0.319236112,0.091458065,1.361028247,0.179061889
138,MAP00480_Glutathione_metabolism,0.316881381,0.094029032,1.350989105,0.184250814
163,mta3Pathway,-0.314020339,0.091045161,1.340182477,0.188177419
195,rhoPathway,0.309473866,0.103177419,1.319407978,0.201563518
