,pathway,ES,p_val,NES,FDR
186,proteasomePathway,0.63477272,0.005509677,2.692728304,0.000447581
75,Fatty_Acid_Synthesis,0.530977111,0.012454839,2.252423665,0.005548387
9,atrbrcaPathway,-0.513847305,0.018516129,2.192293965,0.006832258
113,MAP00020_Citrate_cycle_TCA_cycle,0.496520697,0.011403226,2.106258337,0.011470383
39,Complement_Activation_Classical,-0.487339297,0.795109677,2.079199383,0.012074194
40,compPathway,-0.459092773,0.255909677,1.958687542,0.021058065
111,lairPathway,-0.457373788,0.007341935,1.951353613,0.021735484
266,INSULIN_2F_DOWN,-0.454341317,0.102977419,1.938415786,0.022967742
198,SA_CASPASE_CASCADE,-0.448184432,0.006432258,1.912147859,0.025670968
5,arapPathway,0.446553334,0.029912903,1.894295017,0.028671141
66,Electron_Transport_Chain,0.440611384,0.010467742,1.869089057,0.031538462
143,MAP00590_Prostaglandin_and_leukotriene_metabolism,-0.436594767,0.0298,1.862701356,0.031119355
277,P53_DOWN,-0.428759905,0.118503226,1.829274459,0.03556129
252,VOXPHOS,0.420585347,0.016848387,1.7841379,0.043621262
258,GLYCOL,0.397086944,0.0646,1.684456846,0.062265574
56,cytokinePathway,-0.392194093,0.037422581,1.673268955,0.063719355
223,ST_GRANULE_CELL_SURVIVAL_PATHWAY,-0.388925516,0.133641935,1.659323797,0.067048387
270,EMT_UP,-0.383847163,0.014141935,1.637657354,0.072341935
196,S1P_Signaling,-0.380178586,0.222116129,1.622005627,0.07673871
150,MAP00970_Aminoacyl_tRNA_biosynthesis,0.378182902,0.002603226,1.60426523,0.08176699
195,rhoPathway,0.368079793,0.103177419,1.561407487,0.0947411
114,MAP00030_Pentose_phosphate_pathway,0.366953685,0.298164516,1.556630497,0.09636246
243,tnfr2Pathway,0.366344591,0.035406452,1.554046699,0.097135922
162,mRNA_splicing,0.35864754,0.073735484,1.521395534,0.108177994
233,ST_Wnt_Ca2_cyclic_GMP_Pathway,-0.355135694,0.133296774,1.515161859,0.11003871
138,MAP00480_Glutathione_metabolism,0.356994823,0.094029032,1.51438465,0.110699029
247,tRNA_Synthetases,0.356570956,0.003054839,1.512586593,0.111359223
103,Inflammatory_Response_Pathway,-0.35211473,0.061335484,1.502273125,0.115006452
128,MAP00260_Glycine_serine_and_threonine_metabolism,0.353852576,0.035303226,1.50105513,0.115779935
57,dcPathway,-0.351159349,0.237835484,1.498197058,0.116574194
244,tob1Pathway,-0.348179405,0.005658065,1.485483333,0.121590323
265,shh_lisa,0.343883686,0.422277419,1.458766747,0.132650485
183,pmlPathway,-0.338697605,0.141977419,1.44502989,0.138067742
43,CR_CYTOSKELETON,0.340287044,0.281525806,1.443509664,0.139177994
297,GATA1_WEISS,-0.334068922,0.098735484,1.425281935,0.146783871
97,il17Pathway,-0.329557991,0.032329032,1.406036358,0.155235484
118,MAP00120_Bile_acid_biosynthesis,-0.328800398,0.323625806,1.402804144,0.156732258
296,GNF_FEMALE_GENES,0.330629484,0.212603226,1.402541953,0.157375405
160,mprPathway,-0.3266318,0.85573871,1.393551968,0.160932258
1,actinYPathway,-0.324258947,0.216703226,1.383428356,0.165654839
269,NFKB_REDUCED,0.324474625,0.408709677,1.376432821,0.169608414
140,MAP00510_N_Glycans_biosynthesis,0.310639885,0.856606452,1.317745365,0.201197411
69,erk5Pathway,-0.307902818,0.770790323,1.313646064,0.202929032
210,sppaPathway,-0.304264886,0.24986129,1.298125076,0.211622581
120,MAP00190_Oxidative_phosphorylation,0.305511512,0.10346129,1.295990629,0.213446602
142,MAP00562_Inositol_phosphate_metabolism,0.304253072,0.124425806,1.290652279,0.216647249
227,ST_MONOCYTE_AD_PATHWAY,-0.30146292,0.131287097,1.286170683,0.218535484
178,p53Pathway,0.302601004,0.125390323,1.283644149,0.220957929
38,ck1Pathway,0.301566805,0.270432258,1.279257043,0.223676375
0,41bbPathway,0.301492052,0.859222581,1.278939937,0.223880259
104,inflamPathway,-0.29858986,0.060877419,1.273912972,0.226132258
119,MAP00150_Androgen_and_estrogen_metabolism,-0.297480983,0.140232258,1.269182025,0.229051613
218,ST_G_alpha_5_Pathway,-0.29704907,0.837070968,1.267339299,0.230225806
240,tidPathway,-0.294676593,0.186345161,1.25721729,0.236322581
192,radiation_sensitivity,-0.293787104,0.116016129,1.253422346,0.238909677
229,ST_Phosphoinositide_3_Kinase_Pathway,0.295229209,0.123625806,1.252372735,0.2402589
139,MAP00500_Starch_and_sucrose_metabolism,0.292520052,0.260280645,1.240880394,0.247754045
148,MAP00860_Porphyrin_and_chlorophyll_metabolism,0.290392582,0.826790323,1.231855591,0.253592233
151,MAP03020_RNA_polymerase,0.288465947,0.011716129,1.22368274,0.258967638
267,INSULIN_2F_UP,0.287754295,0.326148387,1.220663885,0.26087055
306,RAR_UP,-0.284765212,0.057941935,1.214931068,0.263848387
257,GLYCOGEN,0.285971864,0.164951613,1.213102751,0.265928803
212,ST_ADRENERGIC,-0.284022216,0.107006452,1.211761128,0.265906452
79,g1Pathway,-0.28362411,0.618287097,1.210062637,0.26716129
121,MAP00193_ATP_synthesis,0.28401595,0.061577419,1.204805692,0.271744337
122,MAP00195_Photosynthesis,0.28401595,0.061577419,1.204805692,0.271744337
152,MAP03070_Type_III_secretion_system,0.28401595,0.061577419,1.204805692,0.271744337
256,GLUCO,0.283613424,0.4808,1.203098165,0.27294822
165,ndkDynaminPathway,0.282876141,0.369251613,1.199970585,0.275087379
236,telPathway,0.282392157,0.184406452,1.197917506,0.276601942
6,arfPathway,0.281045098,0.222106452,1.192203234,0.280627832
157,mef2dPathway,0.277493941,0.250964516,1.1771391,0.291747573
159,mitochondriaPathway,-0.274631603,0.06356129,1.171696727,0.294896774
82,gcrPathway,0.275256104,0.295829032,1.167646119,0.29871521
37,chrebpPathway,0.274849743,0.134467742,1.16592232,0.299990291
25,cell_adhesion_receptor_activity,-0.273231416,0.120670968,1.165722925,0.299209677
18,carmerPathway,0.274554594,0.071551613,1.164670286,0.300899676
185,Proteasome_Degradation,0.273426914,0.026709677,1.159886629,0.304346278
211,spryPathway,-0.270900564,0.829958065,1.155778508,0.30656129
110,KrebsTCA_Cycle,0.271964691,0.047219355,1.153683829,0.308990291
80,g2Pathway,-0.270323462,0.105641935,1.153316342,0.308258065
231,ST_Tumor_Necrosis_Factor_Pathway,-0.269102588,0.480416129,1.148107569,0.312412903
85,Glycogen_Metabolism,0.27043929,0.261890323,1.147213023,0.314122977
78,G13_Signaling_Pathway,0.270104211,0.046709677,1.145791606,0.315203883
239,th1th2Pathway,-0.268144744,0.025419355,1.144020991,0.315580645
137,MAP00410_beta_Alanine_metabolism,0.269677021,0.457280645,1.143979452,0.316634304
29,cell_cycle_regulator,0.269455143,0.117206452,1.143038236,0.317459547
167,nfkbPathway,-0.266107406,0.946009677,1.13532883,0.322548387
201,shhPathway,0.266783318,0.430093548,1.13170426,0.326501618
51,CR_TRANSPORT_OF_VESICLES,0.266765414,0.091458065,1.131628309,0.326546926
20,ccr3Pathway,0.266262593,0.022496774,1.129495325,0.328323625
146,MAP00650_Butanoate_metabolism,0.265482004,0.69456129,1.126184042,0.330851133
153,MAPK_Cascade,-0.263827513,0.312187097,1.125601824,0.330303226
193,rasPathway,0.262003083,0.086809677,1.111426334,0.34312945
54,ctla4Pathway,-0.259320924,0.114054839,1.106374774,0.346212903
260,GO_ROS,-0.259143155,0.289390323,1.105616337,0.346845161
14,breast_cancer_estrogen_signalling,-0.257982524,0.213932258,1.100664584,0.351177419
169,nkcellsPathway,0.258117079,0.28803871,1.094941769,0.356838188
287,FRASOR_ER_UP,-0.254502896,0.096970968,1.085818991,0.363467742
204,SIG_CHEMOTAXIS,0.255231174,0.515516129,1.082699658,0.367288026
286,BRCA_UP,-0.253372556,0.138593548,1.080996476,0.36756129
276,P53_UP,-0.25304843,0.37033871,1.079613615,0.368687097
262,INS,0.254354737,0.608012903,1.078981782,0.370401294
203,SIG_CD40PATHWAYMAP,-0.252346641,0.263370968,1.076619481,0.371177419
172,no2il12Pathway,-0.251928507,0.009880645,1.074835538,0.372783871
206,SIG_InsulinReceptorPathwayInCardiacMyocytes,0.253204558,0.133967742,1.074102682,0.374653722
309,CBF_LEUKEMIA_DOWNING_AML,-0.250598329,0.153183871,1.069160427,0.377629032
284,GLUCOSE_UP,0.251431324,0.059009677,1.066580561,0.381165049
134,MAP00360_Phenylalanine_metabolism,0.24969626,0.879535484,1.059220356,0.387634304
174,nthiPathway,0.249356438,0.192793548,1.057778821,0.388961165
102,il7Pathway,0.247665919,0.265854839,1.050607578,0.395255663
108,intrinsicPathway,-0.245731619,0.116419355,1.048396946,0.39593871
222,ST_Gaq_Pathway,-0.245690108,0.198064516,1.048219844,0.396129032
225,ST_Interleukin_4_Pathway,0.245957507,0.178774194,1.043360436,0.401799353
200,SA_TRKA_RECEPTOR,0.244247127,0.075903226,1.036104943,0.408530744
168,ngfPathway,0.243731321,0.149964516,1.033916875,0.410527508
117,MAP00071_Fatty_acid_metabolism,-0.240364891,0.159122581,1.025500173,0.416574194
28,cell_cycle_checkpoint,-0.240030897,0.359832258,1.024075208,0.417877419
126,MAP00251_Glutamate_metabolism,0.241106626,0.866996774,1.022782825,0.420398058
135,MAP00361_gamma_Hexachlorocyclohexane_degradation,-0.239293478,0.052858065,1.020929062,0.420732258
19,caspasePathway,-0.237972685,0.207390323,1.015293991,0.425958065
163,mta3Pathway,0.238647742,0.908954839,1.012352152,0.430071197
226,ST_JNK_MAPK_Pathway,-0.236094452,0.361651613,1.007280639,0.433219355
16,calcineurinPathway,0.235524502,0.252319355,0.999103259,0.442349515
288,FRASOR_ER_DOWN,-0.234119699,0.172322581,0.998855492,0.441141935
71,etsPathway,-0.23404368,0.551274194,0.998531163,0.44143871
52,crebPathway,-0.233391613,0.643083871,0.995749163,0.443980645
289,ANDROGEN_UP_GENES,-0.231146931,0.223245161,0.986172385,0.45306129
190,rac1Pathway,0.232340834,0.607541935,0.985598025,0.455071197
145,MAP00640_Propanoate_metabolism,0.232192946,0.453812903,0.984970681,0.455682848
133,MAP00350_Tyrosine_metabolism,0.230802519,0.504416129,0.979072438,0.461330097
228,ST_p38_MAPK_Pathway,-0.227351992,0.479080645,0.969981538,0.468454839
197,SA_B_CELL_RECEPTOR_COMPLEXES,-0.226251314,0.830248387,0.965285572,0.473029032
249,ucalpainPathway,0.227193354,0.217235484,0.963762234,0.476100324
181,pgc1aPathway,0.22719005,0.825083871,0.96374822,0.47610356
115,MAP00051_Fructose_and_mannose_metabolism,0.227179524,0.643009677,0.963703567,0.476148867
123,MAP00220_Urea_cycle_and_metabolism_of_amino_groups,0.226523031,0.678083871,0.960918699,0.479097087
149,MAP00910_Nitrogen_metabolism,-0.224493389,0.054454839,0.957785508,0.480858065
2,aktPathway,0.224365867,0.364919355,0.951767934,0.488281553
46,CR_IMMUNE_FUNCTION,-0.223033256,0.425167742,0.951555951,0.486987097
305,KRAS_TOP100_KNOCKDOWN,-0.22303109,0.352454839,0.951546709,0.486996774
194,relaPathway,-0.222575881,0.810858065,0.94960459,0.488906452
116,MAP00052_Galactose_metabolism,0.220812217,0.346622581,0.936693223,0.503579288
68,epoPathway,0.220598034,0.220277419,0.935784653,0.504514563
8,atmPathway,0.220352981,0.175977419,0.934745129,0.505647249
161,mRNA_processing,0.219949185,0.454906452,0.933032211,0.507488673
3,alkPathway,-0.217725824,0.358077419,0.928912159,0.510119355
290,ANDROGEN_GENES_FROM_NETAFFX,-0.217127312,0.222287097,0.926358649,0.51273871
94,igf1mtorPathway,0.21818863,0.104712903,0.925563875,0.515381877
93,hsp27Pathway,-0.216786642,0.071241935,0.924905204,0.514383871
302,DOWNREG_BY_HOXA9,0.217985659,0.421209677,0.924702865,0.516223301
241,tnf_and_fas_network,-0.215942653,0.730051613,0.921304384,0.518074194
180,pdgfPathway,0.215702254,0.24013871,0.91501658,0.524551613
63,egfPathway,0.213252085,0.15463871,0.904622879,0.535577419
250,vegfPathway,0.213047349,0.183448387,0.903754382,0.536451613
188,ptenPathway,0.212882017,0.078764516,0.903053037,0.53716129
17,cardiacegfPathway,-0.209033696,0.278429032,0.891827797,0.549296774
98,il1rPathway,-0.208525501,0.704412903,0.88965962,0.551580645
130,MAP00310_Lysine_degradation,-0.207341428,0.721683871,0.884607852,0.557019355
291,AR_ORTHOS_MAPPED_TO_U133_VIA_NETAFFX,-0.20454882,0.512164516,0.872693383,0.569606452
292,AR_MOUSE,-0.20454882,0.512164516,0.872693383,0.569606452
268,NFKB_INDUCED,-0.204149488,0.295035484,0.870989662,0.571258065
84,gleevecPathway,0.20499701,0.252519355,0.869604557,0.572758065
147,MAP00710_Carbon_fixation,0.204649268,0.934396774,0.868129423,0.574167742
209,SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases,0.203999741,0.163309677,0.865374107,0.577216129
34,cellcyclePathway,-0.202784349,0.738758065,0.865165391,0.577503226
35,ceramidePathway,0.202156773,0.049393548,0.857556173,0.585590323
170,nktPathway,-0.1986809,0.148287097,0.847658307,0.596364516
88,GPCRs_Class_B_Secretinlike,-0.198139512,0.623222581,0.845348516,0.598990323
214,ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway,0.198706602,0.379583871,0.842920428,0.601696774
27,cell_cycle_arrest,0.198689694,0.653890323,0.8428487,0.601751613
177,p53hypoxiaPathway,-0.197520689,0.228312903,0.842708351,0.601893548
246,tpoPathway,0.198392224,0.321551613,0.841586825,0.603048387
89,gsk3Pathway,-0.197133201,0.572596774,0.841055159,0.603735484
31,cell_motility,-0.196739269,0.282193548,0.839374475,0.605758065
255,FA,-0.19672992,0.057577419,0.839334589,0.605793548
73,Fatty_Acid_Degradation,-0.19574967,0.044383871,0.835152417,0.610345161
48,CR_REPAIR,-0.194744068,0.550890323,0.830862088,0.615109677
274,ANTI_CD44_UP,0.195573059,0.775754839,0.829627827,0.616545161
164,mtorPathway,0.195216695,0.132445161,0.828116115,0.618187097
106,insulinPathway,0.195203355,0.257616129,0.828059527,0.618241935
254,wntPathway,-0.192970128,0.918890323,0.823293696,0.623487097
191,raccycdPathway,-0.19254378,0.808403226,0.821474713,0.625503226
271,EMT_DOWN,-0.191512461,0.427245161,0.817074661,0.630370968
179,par1Pathway,0.19239614,0.152722581,0.816151223,0.631441935
62,edg1Pathway,-0.191166891,0.661641935,0.81560031,0.632019355
87,GPCRs_Class_A_Rhodopsinlike,-0.191132899,0.382367742,0.815455286,0.632222581
175,p38mapkPathway,-0.191089812,0.473258065,0.815271456,0.632445161
182,pitx2Pathway,0.192176861,0.130087097,0.815221033,0.632512903
248,tumor_supressor,-0.190457119,0.604193548,0.812572117,0.635535484
132,MAP00340_Histidine_metabolism,-0.189028364,0.275983871,0.806476431,0.642180645
13,biopeptidesPathway,0.188994247,0.3767,0.801720272,0.647267742
30,cell_growth_and_or_maintenance,-0.18690377,0.078393548,0.797411998,0.652135484
95,igf1Pathway,0.187638284,0.320651613,0.79596823,0.653880645
12,bcrPathway,0.186841039,0.160848387,0.792586288,0.657612903
293,AR_MOUSE_PLUS_TESTO_FROM_NETAFFX,-0.18529627,0.47913871,0.79055371,0.659870968
53,cskPathway,0.184001018,0.575519355,0.78053882,0.670816129
4,amiPathway,0.184001018,0.575519355,0.78053882,0.670816129
81,gata3Pathway,-0.182352589,0.060903226,0.777994703,0.673625806
10,badPathway,0.18253695,0.340545161,0.774328192,0.677912903
99,il2Pathway,0.181667348,0.501348387,0.770639309,0.682029032
173,nos1Pathway,0.181299949,0.684132258,0.769080788,0.683867742
299,HOX_LIST_JP,0.180571636,0.260748387,0.765991259,0.687519355
215,ST_Differentiation_Pathway_in_PC12_Cells,-0.178508386,0.560458065,0.761593674,0.692554839
58,deathPathway,-0.178349086,0.235690323,0.760914033,0.693229032
36,chemicalPathway,0.178471818,0.445548387,0.757083756,0.697612903
259,GO_0005739,0.177653056,0.390003226,0.753610538,0.701416129
303,UPREG_BY_HOXA9,0.176421868,0.452903226,0.748387796,0.706945161
125,MAP00240_Pyrimidine_metabolism,0.175509417,0.1823,0.744517148,0.711329032
11,bcl2family_and_reg_network,0.174390249,0.145864516,0.739769598,0.716703226
158,metPathway,0.174187911,0.263332258,0.738911271,0.717732258
26,Cell_Cycle,-0.173178246,0.549496774,0.738853002,0.717790323
285,GLUCOSE_DOWN,0.17398785,0.472777419,0.738062605,0.7187
281,GLUT_DOWN,0.17365291,0.408725806,0.736641779,0.720222581
90,hcmvPathway,0.173092754,0.104858065,0.734265579,0.722722581
242,tnfr1Pathway,-0.169688821,0.376693548,0.723965611,0.734096774
295,TESTIS_GENES_FROM_XHX_AND_NETAFFX,-0.169535928,0.361806452,0.723313304,0.734874194
127,MAP00252_Alanine_and_aspartate_metabolism,-0.16949302,0.235467742,0.723130239,0.735080645
60,drug_resistance_and_metabolism,-0.168863445,0.396032258,0.720444201,0.737941935
187,ptdinsPathway,-0.168234109,0.7615,0.717759181,0.740751613
202,SIG_BCR_Signaling_Pathway,0.16895518,0.357106452,0.716713844,0.741874194
217,ST_Fas_Signaling_Pathway,-0.166974815,0.482674194,0.71238649,0.746525806
136,MAP00380_Tryptophan_metabolism,-0.166144628,0.224587097,0.708844555,0.750332258
49,CR_SIGNALLING,-0.165438228,0.453929032,0.705830748,0.753467742
224,ST_Integrin_Signaling_Pathway,0.16609102,0.531690323,0.704563975,0.754929032
44,CR_DEATH,-0.162446195,0.363706452,0.693065448,0.767209677
207,SIG_PIP3_signaling_in_B_lymphocytes,0.16301446,0.393274194,0.6915131,0.768812903
65,electron_transport,-0.161113867,0.197112903,0.687381162,0.773190323
33,cell_surface_receptor_linked_signal_transduction,-0.16061027,0.221083871,0.685232603,0.775190323
32,cell_proliferation,-0.160604675,0.419390323,0.685208731,0.775229032
245,tollPathway,-0.158545397,0.855787097,0.676422965,0.784232258
129,MAP00280_Valine_leucine_and_isoleucine_degradation,0.158262121,0.462280645,0.671353508,0.789429032
124,MAP00230_Purine_metabolism,0.15750767,0.334883871,0.668153102,0.792709677
155,Matrix_Metalloproteinases,0.156918061,0.788806452,0.665651957,0.7952
74,fatty_acid_metabolism,-0.155953632,0.060580645,0.665365375,0.795519355
156,mcalpainPathway,-0.155085907,0.270093548,0.661663288,0.799245161
213,ST_B_Cell_Antigen_Receptor,0.155740628,0.228870968,0.660657244,0.800277419
272,HTERT_DOWN,0.155100122,0.608903226,0.657940199,0.802841935
234,stressPathway,0.155046511,0.190567742,0.657712777,0.803112903
232,ST_Wnt_beta_catenin_Pathway,0.154022766,0.153954839,0.653370015,0.807519355
96,Il12Pathway,0.153702058,0.866341935,0.652009561,0.808851613
67,electron_transporter_activity,0.15284679,0.516235484,0.648381482,0.812435484
294,XINACT_MERGED,0.151700627,0.188970968,0.64351942,0.817093548
283,LEU_DOWN,0.151695271,0.251412903,0.6434967,0.817106452
45,CR_DNA_MET_AND_MOD,-0.150241988,0.585309677,0.640997044,0.819454839
83,ghPathway,-0.150076052,0.645793548,0.64028909,0.82013871
141,MAP00561_Glycerolipid_metabolism,-0.14987688,0.402274194,0.639439338,0.820890323
205,SIG_IL4RECEPTOR_IN_B_LYPHOCYTES,0.149955879,0.175303226,0.636118136,0.824058065
61,ecmPathway,-0.148474473,0.648077419,0.633456063,0.826496774
220,ST_Ga12_Pathway,0.14857467,0.178183871,0.630258997,0.829480645
42,CR_CELL_CYCLE,-0.147295101,0.488019355,0.628424355,0.831190323
41,CR_CAM,-0.147265451,0.23046129,0.628297855,0.831254839
189,pyk2Pathway,0.147482381,0.226103226,0.62562547,0.833777419
219,ST_G_alpha_i_Pathway_,-0.144012272,0.516448387,0.61441839,0.844041935
221,ST_Ga13_Pathway,-0.143403644,0.2217,0.611821724,0.846254839
238,tgfbPathway,-0.1423874,0.849222581,0.607485987,0.850119355
21,ccr5Pathway,0.143033233,0.419567742,0.606752026,0.850741935
230,ST_T_Cell_Signal_Transduction,-0.141989527,0.431603226,0.605788488,0.851609677
261,human_mitoDB_6_2002,0.140947046,0.455890323,0.597902349,0.858580645
64,eif4Pathway,0.139096323,0.203967742,0.590051517,0.865222581
22,cdmacPathway,0.138363654,0.279719355,0.586943508,0.867664516
91,hdacPathway,-0.135727392,0.155767742,0.579071522,0.874029032
